recipe_id,name,prep_time_minutes,dietary_category,cuisine_type,description,ingredients,num_ingredients,source
162,Tuna Pasta #2,20,Non-Vegetarian,Italian,Quick pasta with canned tuna and olive oil.,"blueberries, mushrooms, bread, banana, beef broth",5,synthetic
163,Chicken Quesadilla #2,14,Non-Vegetarian,Indian,Crispy tortilla filled with chicken and cheese.,"thyme, black beans, pasta, apple, cumin, rice, tuna (canned), celery, paprika, honey",10,synthetic
164,Ground Beef Tacos #2,21,Non-Vegetarian,Mexican,Seasoned ground beef in crispy taco shells.,"black beans, chicken thighs, almond milk, pasta, pork chop, lime",6,synthetic
165,Shrimp Stir Fry #2,16,Non-Vegetarian,Italian,Quick shrimp and veggie stir fry with soy sauce.,"mushrooms, shrimp, pasta, apple, lime, rice, celery, turmeric, sweet potato, tofu",10,synthetic
166,BLT Sandwich #2,10,Non-Vegetarian,Mediterranean,"Classic bacon, lettuce and tomato sandwich.","black pepper, chili powder, lemon juice, avocado, corn, pasta, chickpeas, pork chop, bell pepper, kidney beans",10,synthetic
167,Chicken Noodle Soup #2,27,Non-Vegetarian,Italian,Comforting soup with chicken and egg noodles.,"black beans, milk, apple, cumin, deli turkey",5,synthetic
168,Turkey Wrap #2,7,Non-Vegetarian,Indian,Deli turkey with cheese and veggies in a tortilla.,"soy milk, apple, nutritional yeast, turkey, coconut milk, carrot",6,synthetic
169,Bacon and Egg Sandwich #2,15,Non-Vegetarian,Fusion,Classic bacon egg and cheese on toast.,"chili powder, deli turkey, garlic, tuna (canned)",4,synthetic
170,Tuna Salad #2,10,Non-Vegetarian,Fusion,Creamy tuna salad with celery and onion.,"mozzarella, tomato, almond butter, almond milk, kidney beans, celery",6,synthetic
171,Ground Turkey Bowl #2,29,Non-Vegetarian,Fusion,Seasoned turkey over rice with hot sauce.,"mushrooms, cheddar, banana, peanut butter, quinoa",5,synthetic
172,Chicken Caesar Salad #2,18,Non-Vegetarian,Mediterranean,Grilled chicken over romaine with Caesar dressing.,"black pepper, tomato, sour cream, chicken breast, quinoa, lentils, onion, salt, carrot",9,synthetic
173,Salmon and Rice #2,26,Non-Vegetarian,American,Pan-seared salmon fillet served over steamed rice.,"thyme, corn, turkey, salt",4,synthetic
174,Pepperoni Pizza #2,25,Non-Vegetarian,Asian,Classic pizza loaded with mozzarella and pepperoni.,"broccoli, chicken thighs, almond milk, pasta, salt, spinach, nutritional yeast, frozen peas, cheese",9,synthetic
175,Chicken Soup #2,38,Non-Vegetarian,Mediterranean,Simple homemade chicken and vegetable soup.,"blueberries, chicken thighs, almond milk, avocado, corn, rice, quinoa, oregano",8,synthetic
176,Beef and Broccoli #2,20,Non-Vegetarian,American,Takeout-style beef and broccoli stir fry.,"blueberries, black beans, broccoli, shrimp, almond milk, milk, corn, beef broth, vegetable broth, lentils",10,synthetic
177,Ham and Cheese Omelette #2,6,Non-Vegetarian,American,Fluffy omelette with ham and melted cheese.,"mushrooms, chicken thighs, shrimp, corn, chickpeas, apple",6,synthetic
178,Shrimp Tacos #2,20,Non-Vegetarian,Indian,Spiced shrimp tacos with lime slaw.,"soy milk, corn, parmesan, quinoa, lentils, onion",6,synthetic
179,Chicken Pasta #2,29,Non-Vegetarian,Mexican,Pasta tossed with grilled chicken and olive oil.,"blueberries, milk, bread, pasta, chicken breast, chickpeas, rice, nutritional yeast, lentils",9,synthetic
180,Anchovy Caesar Salad #2,5,Non-Vegetarian,American,Bold Caesar salad with classic anchovy dressing.,"blueberries, black pepper, chicken thighs, lemon juice, corn, butter, chickpeas, pork chop, celery",9,synthetic
181,Chicken Fried Rice #3,16,Non-Vegetarian,Mediterranean,Classic fried rice with tender chicken pieces.,"bread, spinach, soy sauce, frozen peas, ground turkey, ground beef, zucchini",7,synthetic
182,Tuna Pasta #3,20,Non-Vegetarian,Indian,Quick pasta with canned tuna and olive oil.,"shrimp, corn, frozen peas, bell pepper, garlic, beef broth, celery",7,synthetic
183,Chicken Quesadilla #3,14,Non-Vegetarian,Italian,Crispy tortilla filled with chicken and cheese.,"ham, avocado, pasta, apple, cumin, peanut butter, garlic, kidney beans, deli turkey",9,synthetic
184,Ground Beef Tacos #3,24,Non-Vegetarian,Italian,Seasoned ground beef in crispy taco shells.,"shrimp, avocado, butter, spinach, frozen peas, cumin",6,synthetic
185,Shrimp Stir Fry #3,20,Non-Vegetarian,Mediterranean,Quick shrimp and veggie stir fry with soy sauce.,"black pepper, lemon juice, chicken breast, deli turkey, lime",5,synthetic
186,BLT Sandwich #3,10,Non-Vegetarian,Fusion,"Classic bacon, lettuce and tomato sandwich.","ham, lemon juice, cheddar, pasta, cumin",5,synthetic
187,Chicken Noodle Soup #3,27,Non-Vegetarian,Indian,Comforting soup with chicken and egg noodles.,"black beans, almond butter, avocado, bread, yogurt, vegetable broth, pepperoni",7,synthetic
188,Turkey Wrap #3,10,Non-Vegetarian,Asian,Deli turkey with cheese and veggies in a tortilla.,"mushrooms, blueberries, black pepper, lentils",4,synthetic
189,Bacon and Egg Sandwich #3,11,Non-Vegetarian,Italian,Classic bacon egg and cheese on toast.,"almond butter, bread, nutritional yeast, rice, bell pepper, ground turkey",6,synthetic
190,Tuna Salad #3,5,Non-Vegetarian,Fusion,Creamy tuna salad with celery and onion.,"ham, pasta, bread, bacon, chickpeas, peanut butter, quinoa, frozen peas, kidney beans, celery",10,synthetic
191,Ground Turkey Bowl #3,26,Non-Vegetarian,Fusion,Seasoned turkey over rice with hot sauce.,"chili powder, deli turkey, nutritional yeast, peanut butter, cumin",5,synthetic
192,Chicken Caesar Salad #3,20,Non-Vegetarian,Indian,Grilled chicken over romaine with Caesar dressing.,"mushrooms, black pepper, chicken breast, pork chop, soy sauce",5,synthetic
193,Salmon and Rice #3,30,Non-Vegetarian,Asian,Pan-seared salmon fillet served over steamed rice.,"blueberries, soy milk, spinach, soy sauce, cumin, deli turkey, beef broth, lentils",8,synthetic
194,Pepperoni Pizza #3,19,Non-Vegetarian,Asian,Classic pizza loaded with mozzarella and pepperoni.,"black beans, lemon juice, lime, oregano, turkey",5,synthetic
195,Chicken Soup #3,39,Non-Vegetarian,Fusion,Simple homemade chicken and vegetable soup.,"almond milk, corn, apple, vegetable broth, lentils, onion, salt, butter, carrot",9,synthetic
196,Beef and Broccoli #3,30,Non-Vegetarian,Mexican,Takeout-style beef and broccoli stir fry.,"ham, chili powder, almond butter, lemon juice, bread, peanut butter, cumin, bell pepper, vegetable broth, kidney beans",10,synthetic
197,Ham and Cheese Omelette #3,13,Non-Vegetarian,Asian,Fluffy omelette with ham and melted cheese.,"soy milk, almond milk, soy sauce, peanut butter, deli turkey, lentils",6,synthetic
198,Shrimp Tacos #3,16,Non-Vegetarian,Indian,Spiced shrimp tacos with lime slaw.,"soy milk, chickpeas, apple, bell pepper, quinoa, vegetable broth",6,synthetic
199,Chicken Pasta #3,23,Non-Vegetarian,Indian,Pasta tossed with grilled chicken and olive oil.,"blueberries, nutritional yeast, cumin, peanut butter, turkey, celery, sweet potato",7,synthetic
200,Anchovy Caesar Salad #3,13,Non-Vegetarian,Mediterranean,Bold Caesar salad with classic anchovy dressing.,"mozzarella, chili powder, lemon juice, anchovies, soy sauce, bell pepper, peanut butter, nutritional yeast, vegetable broth",9,synthetic
201,Chicken Fried Rice #4,20,Non-Vegetarian,Italian,Classic fried rice with tender chicken pieces.,"tomato, lemon juice, anchovies, quinoa",4,synthetic
202,Tuna Pasta #4,13,Non-Vegetarian,Indian,Quick pasta with canned tuna and olive oil.,"black pepper, broccoli, chili powder, bread, spinach, lime, quinoa, oregano, tuna (canned)",9,synthetic
203,Chicken Quesadilla #4,11,Non-Vegetarian,Indian,Crispy tortilla filled with chicken and cheese.,"mushrooms, broccoli, spinach, salmon, cheese, kidney beans, salt, paprika",8,synthetic
204,Ground Beef Tacos #4,18,Non-Vegetarian,Fusion,Seasoned ground beef in crispy taco shells.,"almond milk, rice, lime, beef broth, ground beef",5,synthetic
205,Shrimp Stir Fry #4,19,Non-Vegetarian,Fusion,Quick shrimp and veggie stir fry with soy sauce.,"blueberries, black pepper, soy milk, banana, chickpeas, ground beef, coconut milk, honey",8,synthetic
206,BLT Sandwich #4,6,Non-Vegetarian,Mediterranean,"Classic bacon, lettuce and tomato sandwich.","black pepper, broccoli, chili powder, corn, rice, quinoa, frozen peas, oats, lime, chicken broth",10,synthetic
207,Chicken Noodle Soup #4,32,Non-Vegetarian,American,Comforting soup with chicken and egg noodles.,"black beans, tomato, soy milk, black pepper, bread, chickpeas, cumin, lime, beef broth, celery",10,synthetic
208,Turkey Wrap #4,8,Non-Vegetarian,Fusion,Deli turkey with cheese and veggies in a tortilla.,"mushrooms, thyme, pasta, banana, spinach, salmon, peanut butter, parmesan, vegetable broth, turkey",10,synthetic
209,Bacon and Egg Sandwich #4,14,Non-Vegetarian,American,Classic bacon egg and cheese on toast.,"black beans, chicken thighs, ham, almond butter, corn, pasta, butter, oats, onion",9,synthetic
210,Tuna Salad #4,5,Non-Vegetarian,Mexican,Creamy tuna salad with celery and onion.,"cheddar, apple, beef broth, zucchini, paprika",5,synthetic
